metric,decision,bit,ref_target,loo_mask,loo_target,loo_inside,gain_lost,one_mask,one_target,one_inside,one_peak,one_peak_tau,one_peak_cost,one_max_cost,loo_psnr_y,loo_ssim,loo_ms_ssim,loo_lpips,loo_dists,loo_wd2,one_psnr_y,one_ssim,one_ms_ssim,one_lpips,one_dists,one_wd2
SSIM,partition,0,,254,,,,1,,,,,,,,,,,,,,,,,,
SSIM,LFNST index,1,,253,,,,2,,,,,,,,,,,,,,,,,,
SSIM,MTS flag,2,,251,,,,4,,,,,,,,,,,,,,,,,,
SSIM,MTS/TS type,3,,247,,,,8,,,,,,,,,,,,,,,,,,
SSIM,luma mode,4,,239,,,,16,,,,,,,,,,,,,,,,,,
SSIM,ISP,5,,223,,,,32,,,,,,,,,,,,,,,,,,
SSIM,chroma,6,,191,,,,64,,,,,,,,,,,,,,,,,,
SSIM,RDOQ lambda,7,,127,,,,128,,,,,,,,,,,,,,,,,,
MS_SSIM,partition,0,,254,,,,1,,,,,,,,,,,,,,,,,,
MS_SSIM,LFNST index,1,,253,,,,2,,,,,,,,,,,,,,,,,,
MS_SSIM,MTS flag,2,,251,,,,4,,,,,,,,,,,,,,,,,,
MS_SSIM,MTS/TS type,3,,247,,,,8,,,,,,,,,,,,,,,,,,
MS_SSIM,luma mode,4,,239,,,,16,,,,,,,,,,,,,,,,,,
MS_SSIM,ISP,5,,223,,,,32,,,,,,,,,,,,,,,,,,
MS_SSIM,chroma,6,,191,,,,64,,,,,,,,,,,,,,,,,,
MS_SSIM,RDOQ lambda,7,,127,,,,128,,,,,,,,,,,,,,,,,,
LPIPS,partition,0,-15.541953283606423,254,-9.206380684511796,1,6.335572599094627,1,-6.645055381093435,0,-7.390228431122115,0.5,3.292668736019339,6.325590827624745,8.147867030177343,-4.503968892806332,-3.720949194069859,-9.206380684511796,-6.029867428567319,-7.015792261200485,6.325590827624745,-0.49698568759733214,-0.2954091545255319,-6.645055381093435,-5.771717327326345,-4.002935161548101
LPIPS,LFNST index,1,-15.541953283606423,253,-14.79475302144381,1,0.7472002621626128,2,0.1988501090060416,0,-1.2755510321576615,1.0,0.3556380566579069,2.89039646329609,8.147867030177343,-6.005824026025284,-5.236784511633283,-14.79475302144381,-10.631670449932093,-11.578083385190185,2.89039646329609,0.7877548935912823,0.839328469364634,0.1988501090060416,0.22863910010495525,0.06276545519916288
LPIPS,MTS flag,2,-15.541953283606423,251,-14.918080584786837,1,0.6238726988195857,4,-0.7933598953311813,0,-0.9026360820883572,0.125,0.5194197994656091,0.615818448016762,8.147867030177343,-5.967220430515691,-5.286380080416565,-14.918080584786837,-10.89315036054736,-11.897576200021618,0.615818448016762,-0.057535794989072485,-0.14447805340347167,-0.7933598953311813,-0.756885434477617,-0.5616233020285915
LPIPS,MTS/TS type,3,-15.541953283606423,247,-14.913451391385662,1,0.6285018922207612,8,0.028181632163208625,0,-0.1634973371029492,2.0,0.35047978692349374,0.9860199304538252,8.147867030177343,-5.596493210622162,-4.908920139329843,-14.913451391385662,-11.508654505718885,-11.417731557836685,0.9860199304538252,0.5126240001670991,0.5489571500318933,0.028181632163208625,-0.8823787044233885,0.32741717853454433
LPIPS,luma mode,4,-15.541953283606423,239,-14.439623018724483,1,1.1023302648819406,16,-1.4227838833242272,0,-1.8052424494153894,0.0625,1.191894760288098,1.2654808632431855,8.147867030177343,-5.515552550850077,-4.883309899792219,-14.439623018724483,-9.412698465544162,-11.406990832823084,1.2654808632431855,0.16686684701201585,0.13965657928761468,-1.4227838833242272,-1.9125660589325164,-0.757744630282634
LPIPS,ISP,5,-15.541953283606423,223,-15.145881618954807,1,0.3960716646516165,32,0.9489967028773045,0,-0.24242685034101633,2.0,0.21285856035288728,2.0586941024289636,8.147867030177343,-5.8836060373215435,-5.103217641085866,-15.145881618954807,-11.665699292642607,-11.647710546632823,2.0586941024289636,1.3633063998079695,1.3347850238702412,0.9489967028773045,-0.3351195601961601,0.9194149370721059
LPIPS,chroma,6,-15.541953283606423,191,-15.002211266101522,1,0.539742017504901,64,-0.500925886140465,0,-0.6539518532709407,2.0,0.026193505194106737,0.08439267070685975,8.147867030177343,-6.1657330503996635,-5.547813238231707,-15.002211266101522,-10.376705147178892,-10.730734136206609,0.08439267070685975,0.13656623926590847,0.06230315619305445,-0.500925886140465,-0.787971321733473,-0.5953657815262299
LPIPS,RDOQ lambda,7,-15.541953283606423,127,-12.03304791214856,1,3.508905371457864,128,0.4058046489356773,1,-1.1548569391613588,1.0,0.8131881474539249,8.465464416217683,8.147867030177343,-2.7673200448016613,-2.3732109178304945,-12.03304791214856,-8.302668038904693,-9.022782363901124,8.147867030177343,-1.9278708525573998,-1.3336732747591176,0.4058046489356773,2.811307998218943,-1.2193567172032131
DISTS,partition,0,-17.304850905305244,254,-11.782079053327651,1,5.522771851977593,1,-7.957544799652939,1,-8.37911726012083,4.0,2.5257192350924873,11.305817797689864,8.147867030177343,5.675890833495654,5.300078668977849,-0.7765283499939633,-11.782079053327651,-1.2827442276898937,8.147867030177343,5.743281114216292,5.482127271681314,0.16219711423053448,-7.957544799652939,0.1121773179737223
DISTS,LFNST index,1,-17.304850905305244,253,-16.32542956799913,1,0.979421337306114,2,-0.680611859466944,0,-2.3971549729330954,0.25,1.9603490145031397,4.126177963781068,8.147867030177343,5.106829918920644,4.79610372472067,-3.7603922806053793,-16.32542956799913,-4.736464534704134,4.126177963781068,3.4026851592442675,3.092629952740598,2.745701873521042,-0.680611859466944,1.677621925958207
DISTS,MTS flag,2,-17.304850905305244,251,-17.032100823148483,1,0.27275008215676166,4,-1.558804411589972,0,-1.558804411589972,0.03125,0.9030648154730693,0.9030648154730693,8.147867030177343,5.161802238537625,4.8149831975415855,-3.9894246174504113,-17.032100823148483,-5.06846181954102,0.9030648154730693,0.5467776041491049,0.4745032338963169,-0.03195691847765747,-1.558804411589972,-0.08374439073502114
DISTS,MTS/TS type,3,-17.304850905305244,247,-17.900280500903325,1,-0.5954295955980804,8,-0.08978329914447843,0,-0.9672961200736704,0.25,1.1130720441826865,1.2734442211704935,8.147867030177343,5.046262830233505,4.77209297880528,-4.260550781281265,-17.900280500903325,-5.165307917297081,1.2734442211704935,1.1060947871177904,1.0993532251133613,0.7904102747174079,-0.08978329914447843,0.7191162060511355
DISTS,luma mode,4,-17.304850905305244,239,-16.57241271245237,1,0.7324381928528751,16,-3.5066268385011052,0,-3.5066268385011052,0.03125,1.984810076176749,1.984810076176749,8.147867030177343,5.114272380302923,4.8090004803906,-3.4754330581897808,-16.57241271245237,-4.811990267845812,1.984810076176749,1.8290969073176049,1.634356499925694,-0.6961387319034062,-3.5066268385011052,-0.20923637986812368
DISTS,ISP,5,-17.304850905305244,223,-16.950334075319248,1,0.35451682998599665,32,0.656286847761663,0,-0.7287830475530591,4.0,0.17708813354406816,2.137478144353606,8.147867030177343,5.01294512638617,4.7334157656149545,-4.016597782864247,-16.950334075319248,-4.975890691260385,2.137478144353606,1.7709651831135256,1.7119942677297633,1.3192485235744214,0.656286847761663,1.113898698380014
DISTS,chroma,6,-17.304850905305244,191,-15.389583868812812,1,1.9152670364924322,64,-1.1785877712201964,0,-1.8053638160636958,2.0,0.241446613687867,0.3727744040533489,8.147867030177343,4.792547878236515,4.481237565006252,-3.6053464045434267,-15.389583868812812,-3.4732821781606544,0.3727744040533489,0.2917291059574422,0.282951586605643,-0.1263884465352333,-1.1785877712201964,-0.8802193177039169
DISTS,RDOQ lambda,7,-17.304850905305244,127,-14.905904486421639,1,2.3989464188836056,128,1.6775301007777887,1,-1.6286621084747306,2.0,0.46212337157637196,12.716216667055031,8.147867030177343,5.346080807435818,5.035397716714464,-3.3564488121246843,-14.905904486421639,-4.508993468492486,8.147867030177343,5.63108206641348,5.156506724819213,6.9044677232467215,1.6775301007777887,2.639946050445432
WD,partition,0,,254,,,,1,,,,,,,,,,,,,,,,,,
WD,LFNST index,1,,253,,,,2,,,,,,,,,,,,,,,,,,
WD,MTS flag,2,,251,,,,4,,,,,,,,,,,,,,,,,,
WD,MTS/TS type,3,,247,,,,8,,,,,,,,,,,,,,,,,,
WD,luma mode,4,,239,,,,16,,,,,,,,,,,,,,,,,,
WD,ISP,5,,223,,,,32,,,,,,,,,,,,,,,,,,
WD,chroma,6,,191,,,,64,,,,,,,,,,,,,,,,,,
WD,RDOQ lambda,7,,127,,,,128,,,,,,,,,,,,,,,,,,
