config,n_images,bd_psnr_y,bd_psnr_yuv,bd_ssim,bd_ms_ssim,bd_lpips,bd_dists,bd_wd0,bd_wd2,bd_wd4
qpa,41,9.660,7.287,-15.703,-7.840,-14.503,-8.798,-11.936,-13.843,-16.888
wdists_block_tau2_rdoq,41,12.251,11.278,11.507,10.272,0.425,-15.071,,,
wdists_block_tau4_rdoq,41,7.323,6.626,6.954,5.991,-1.124,-13.549,,,
wdists_block_tau6_rdoq,41,5.279,4.734,5.016,4.199,-1.706,-12.422,,,
wdists_diag_tau0.5_rdoq,41,14.380,13.492,9.964,11.005,6.865,-8.784,,,
wdists_diag_tau1_rdoq,41,7.417,6.900,4.595,5.370,2.856,-9.263,,,
wdists_diag_tau2_rdoq,41,3.771,3.423,1.974,2.379,0.841,-8.264,,,
wdistsj3_block_tau1_rdoq,41,14.217,12.972,13.522,11.253,2.108,-14.709,3.575,2.783,2.964
wdistsj3_block_tau2_rdoq,41,8.757,7.808,8.174,6.569,-0.550,-14.114,0.738,0.080,-0.024
wdistsj3_block_tau4_rdoq,41,5.155,4.452,4.700,3.569,-1.640,-12.584,-0.707,-1.226,-1.450
wdistsj3_block_tau6_rdoq,41,3.664,3.090,3.392,2.399,-1.809,-11.521,-1.149,-1.581,-1.851
wdistsj3_diag_tau0.5_rdoq,41,12.676,12.090,13.985,11.851,8.710,-7.634,7.771,7.839,10.315
wdistsj3_diag_tau1_rdoq,41,6.803,6.431,7.301,6.294,4.462,-8.272,3.503,3.528,5.072
wdistsj3_diag_tau2_rdoq,41,3.495,3.250,3.649,3.058,1.842,-7.572,1.199,1.164,2.032
wlpips_block_tau0.5_rdoq,41,20.650,18.627,6.805,7.673,-10.077,-3.884,,,
wlpips_block_tau1_rdoq,41,10.991,9.869,4.271,3.660,-9.133,-5.263,,,
wlpips_block_tau2_rdoq,41,5.539,4.892,2.287,1.238,-7.854,-5.501,,,
wlpips_diag_tau0.25_rdoq,41,12.118,10.765,-17.802,-7.622,-12.154,-0.818,,,
wlpips_diag_tau0.5_rdoq,41,6.303,5.609,-14.498,-6.556,-8.863,-0.604,,,
wlpips_diag_tau1_rdoq,41,2.430,2.154,-10.646,-5.210,-6.553,-0.847,,,
wlpipsj3_block_tau0.25_rdoq,41,18.493,16.152,-9.152,-4.952,-17.490,-9.007,-9.919,-12.640,-17.832
wlpipsj3_block_tau0.5_rdoq,41,10.282,8.814,-8.652,-5.396,-15.245,-8.606,-9.083,-11.075,-15.208
wlpipsj3_block_tau1_rdoq,41,5.175,4.239,-7.248,-4.984,-12.583,-7.830,-7.907,-9.351,-12.607
wlpipsj3_block_tau2_rdoq,41,2.321,1.748,-5.653,-4.174,-9.906,-6.605,-6.265,-7.269,-9.675
wlpipsj3_diag_tau0.125_rdoq,41,15.222,13.704,-21.829,-12.437,-15.342,-2.451,-10.803,-13.119,-16.814
wlpipsj3_diag_tau0.25_rdoq,41,9.119,8.187,-19.232,-11.107,-12.663,-2.190,-9.442,-11.226,-14.234
wlpipsj3_diag_tau0.5_rdoq,41,4.411,3.963,-15.141,-8.846,-9.814,-1.906,-7.329,-8.536,-10.790
wlpipsj3_diag_tau1_rdoq,41,1.670,1.486,-11.027,-6.555,-7.189,-1.850,-5.498,-6.294,-7.929
wlpipsj6_block_tau0.125_rdoq,41,19.160,16.550,-10.247,-6.725,-15.970,-6.985,-10.419,-13.096,-17.483
wlpipsj6_block_tau0.25_rdoq,41,12.925,10.936,-9.894,-6.828,-14.446,-6.527,-10.024,-12.240,-16.055
wlpipsj6_block_tau0.5_rdoq,41,7.501,6.107,-8.755,-6.389,-12.609,-6.361,-9.021,-10.714,-13.804
wlpipsj6_block_tau1_rdoq,41,3.921,2.953,-7.271,-5.560,-10.635,-5.844,-7.828,-9.103,-11.557
wlpipsj6_block_tau2_rdoq,41,1.788,1.160,-5.545,-4.361,-7.995,-4.920,-5.949,-6.830,-8.615
wlpipsj6_diag_tau0.0625_rdoq,41,14.694,13.416,-19.684,-12.497,-13.307,-2.061,-8.981,-10.989,-14.026
wlpipsj6_diag_tau0.125_rdoq,41,10.450,9.529,-18.240,-11.712,-12.047,-2.109,-8.408,-10.104,-12.792
wlpipsj6_diag_tau0.25_rdoq,41,6.364,5.803,-15.904,-10.265,-10.278,-1.935,-7.387,-8.707,-10.944
wlpipsj6_diag_tau0.5_rdoq,41,3.068,2.797,-12.716,-8.261,-8.206,-1.707,-6.020,-6.935,-8.627
wlpipsj6_diag_tau1_rdoq,41,1.209,1.103,-9.419,-6.109,-6.095,-1.862,-4.513,-5.134,-6.389
wms_ssim_block_tau0.5_rdoq,41,11.952,10.242,-23.101,-18.059,-8.365,-0.404,-9.361,-11.524,-13.973
wms_ssim_block_tau1_rdoq,41,6.076,5.160,-19.649,-15.041,-7.575,-1.846,-8.169,-9.723,-11.709
wms_ssim_block_tau2_rdoq,41,2.686,2.233,-15.490,-11.562,-6.323,-2.180,-6.513,-7.565,-9.009
wms_ssim_diag_tau0.125_rdoq,41,15.665,11.815,-18.712,-14.319,-12.384,-2.130,-12.875,-15.320,-18.476
wms_ssim_diag_tau0.25_rdoq,41,9.603,6.747,-16.700,-12.339,-10.581,-2.445,-11.302,-13.209,-15.735
wms_ssim_diag_tau0.5_rdoq,41,4.891,3.009,-13.462,-9.721,-8.342,-2.971,-8.995,-10.338,-12.223
wms_ssim_diag_tau1_rdoq,41,2.155,1.006,-9.791,-6.960,-6.174,-2.599,-6.534,-7.413,-8.721
wssim_block_tau1_rdoq,41,21.093,19.415,-42.669,3.602,6.322,13.318,3.703,1.585,-2.025
wssim_block_tau2_rdoq,41,12.301,11.536,-39.086,-0.549,2.203,7.273,0.877,-0.602,-3.358
wssim_block_tau4_rdoq,41,6.732,6.461,-34.007,-2.887,-0.168,3.942,-0.953,-1.998,-4.097
wssim_diag_tau0.25_rdoq,41,11.297,8.450,-16.046,-6.335,-5.353,6.348,-5.060,-6.518,-9.328
wssim_diag_tau0.5_rdoq,41,6.043,4.170,-13.243,-5.798,-4.690,3.911,-4.752,-5.778,-7.846
wssim_diag_tau1_rdoq,41,2.771,1.645,-10.086,-4.809,-3.923,1.967,-3.957,-4.636,-6.073
wwdj3_block_tau1_rdoq,41,9.760,7.749,-16.024,-8.069,-12.340,-10.036,-13.609,-16.093,-19.430
wwdj3_block_tau2_rdoq,41,5.285,3.828,-13.884,-7.300,-10.898,-9.285,-11.928,-13.837,-16.679
wwdj3_block_tau4_rdoq,41,2.500,1.510,-10.948,-5.879,-8.592,-7.302,-9.446,-10.817,-13.075
wwdj3_diag_tau0.0625_rdoq,41,10.028,7.966,-17.678,-10.961,-13.108,-8.288,-13.265,-15.218,-17.390
wwdj3_diag_tau0.125_rdoq,41,7.609,5.910,-16.278,-10.135,-11.883,-7.575,-12.193,-13.906,-15.874
wwdj3_diag_tau0.25_rdoq,41,4.917,3.659,-14.163,-8.779,-10.179,-6.721,-10.483,-11.860,-13.507
