kind,image,metric,config,qp,m,enc_time_s,map_time_s,corr
enc,kodim01,-,anchor,22,,131.021,,
enc,kodim01,-,anchor,27,,115.655,,
enc,kodim01,-,anchor,32,,94.388,,
enc,kodim01,-,anchor,37,,70.200,,
enc,kodim01,DISTS,block,22,,144.981,,
enc,kodim01,DISTS,block,27,,128.655,,
enc,kodim01,DISTS,block,32,,105.165,,
enc,kodim01,DISTS,block,37,,73.573,,
enc,kodim01,DISTS,diag,22,,134.015,,
enc,kodim01,DISTS,diag,27,,116.057,,
enc,kodim01,DISTS,diag,32,,96.040,,
enc,kodim01,DISTS,diag,37,,63.884,,
enc,kodim01,LPIPS,block,22,,156.632,,
enc,kodim01,LPIPS,block,27,,133.215,,
enc,kodim01,LPIPS,block,32,,112.684,,
enc,kodim01,LPIPS,block,37,,78.824,,
enc,kodim01,LPIPS,diag,22,,138.885,,
enc,kodim01,LPIPS,diag,27,,119.802,,
enc,kodim01,LPIPS,diag,32,,98.330,,
enc,kodim01,LPIPS,diag,37,,66.721,,
enc,kodim01,MS_SSIM,block,22,,144.711,,
enc,kodim01,MS_SSIM,block,27,,130.516,,
enc,kodim01,MS_SSIM,block,32,,108.779,,
enc,kodim01,MS_SSIM,block,37,,80.487,,
enc,kodim01,MS_SSIM,diag,22,,134.753,,
enc,kodim01,MS_SSIM,diag,27,,117.498,,
enc,kodim01,MS_SSIM,diag,32,,98.415,,
enc,kodim01,MS_SSIM,diag,37,,70.470,,
enc,kodim01,SSIM,block,22,,141.552,,
enc,kodim01,SSIM,block,27,,117.518,,
enc,kodim01,SSIM,block,32,,102.435,,
enc,kodim01,SSIM,block,37,,77.300,,
enc,kodim01,SSIM,diag,22,,133.956,,
enc,kodim01,SSIM,diag,27,,116.327,,
enc,kodim01,SSIM,diag,32,,98.872,,
enc,kodim01,SSIM,diag,37,,69.502,,
enc,kodim01,WD,block,22,,152.923,,
enc,kodim01,WD,block,27,,134.035,,
enc,kodim01,WD,block,32,,114.818,,
enc,kodim01,WD,block,37,,87.689,,
enc,kodim01,WD,diag,22,,133.635,,
enc,kodim01,WD,diag,27,,117.055,,
enc,kodim01,WD,diag,32,,98.840,,
enc,kodim01,WD,diag,37,,68.593,,
enc,kodim02,-,anchor,22,,118.955,,
enc,kodim02,-,anchor,27,,81.049,,
enc,kodim02,-,anchor,32,,50.249,,
enc,kodim02,-,anchor,37,,24.734,,
enc,kodim02,DISTS,block,22,,125.494,,
enc,kodim02,DISTS,block,27,,84.983,,
enc,kodim02,DISTS,block,32,,53.002,,
enc,kodim02,DISTS,block,37,,25.859,,
enc,kodim02,DISTS,diag,22,,114.462,,
enc,kodim02,DISTS,diag,27,,74.938,,
enc,kodim02,DISTS,diag,32,,44.001,,
enc,kodim02,DISTS,diag,37,,21.936,,
enc,kodim02,LPIPS,block,22,,152.725,,
enc,kodim02,LPIPS,block,27,,104.963,,
enc,kodim02,LPIPS,block,32,,62.473,,
enc,kodim02,LPIPS,block,37,,27.573,,
enc,kodim02,LPIPS,diag,22,,128.155,,
enc,kodim02,LPIPS,diag,27,,85.028,,
enc,kodim02,LPIPS,diag,32,,47.827,,
enc,kodim02,LPIPS,diag,37,,20.787,,
enc,kodim02,MS_SSIM,block,22,,134.118,,
enc,kodim02,MS_SSIM,block,27,,93.448,,
enc,kodim02,MS_SSIM,block,32,,62.034,,
enc,kodim02,MS_SSIM,block,37,,31.400,,
enc,kodim02,MS_SSIM,diag,22,,124.113,,
enc,kodim02,MS_SSIM,diag,27,,83.206,,
enc,kodim02,MS_SSIM,diag,32,,49.894,,
enc,kodim02,MS_SSIM,diag,37,,23.349,,
enc,kodim02,SSIM,block,22,,126.649,,
enc,kodim02,SSIM,block,27,,93.333,,
enc,kodim02,SSIM,block,32,,61.029,,
enc,kodim02,SSIM,block,37,,34.231,,
enc,kodim02,SSIM,diag,22,,125.432,,
enc,kodim02,SSIM,diag,27,,83.290,,
enc,kodim02,SSIM,diag,32,,51.959,,
enc,kodim02,SSIM,diag,37,,23.437,,
enc,kodim02,WD,block,22,,142.938,,
enc,kodim02,WD,block,27,,105.593,,
enc,kodim02,WD,block,32,,69.945,,
enc,kodim02,WD,block,37,,36.872,,
enc,kodim02,WD,diag,22,,124.403,,
enc,kodim02,WD,diag,27,,82.966,,
