set,metric,estimator,m,sigma,image,plane,n_tiles,neg_diag_frac,neg_eig_frac,neg_energy_frac,tiles_with_neg_frac,diag_dom_mean
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim01,0,6144,0.014912923177083334,0.27567799886067706,0.1142005634015747,1.0,0.4265041972642589
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim01,1,1536,0.001953125,0.2666727701822917,0.09132125914940196,1.0,0.5207104791699946
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim01,2,1536,0.0019124348958333333,0.2804667154947917,0.08067818002583771,1.0,0.5123260939084314
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim02,0,6144,0.01567840576171875,0.2927042643229167,0.11496029802009093,1.0,0.4205546345267717
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim02,1,1536,0.009287516276041666,0.3137003580729167,0.15748719625473817,1.0,0.4421781550742498
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim02,2,1536,0.011372884114583334,0.3188883463541667,0.15935108197414027,1.0,0.4421424100853333
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim03,0,6144,0.019299825032552082,0.29426320393880206,0.13091067397673006,1.0,0.41575459605562176
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim03,1,1536,0.011077880859375,0.2881978352864583,0.15154837706622315,1.0,0.4710471028883057
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim03,2,1536,0.010182698567708334,0.3008321126302083,0.15971460084415615,1.0,0.4681623626924849
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim04,0,6144,0.015101114908854166,0.29658762613932294,0.1344668451809878,1.0,0.40470361066841115
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim04,1,1536,0.008392333984375,0.3042093912760417,0.14725683182959537,1.0,0.45141705459407966
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim04,2,1536,0.008982340494791666,0.31048583984375,0.12869323993951295,1.0,0.4536992266633568
