metric,image,n_rows,diag_frac,block_frac,dom,block_dom,r95,cross_plane
SSIM,kodim01,384,0.982588529586792,0.9956368207931519,1.0137492418289185,0.812630295753479,0.0,0.0
SSIM,kodim05,384,0.9840051531791687,0.9959263801574707,1.0638604164123535,0.8157231211662292,0.0,0.0
SSIM,kodim19,384,0.9832522869110107,0.9950516223907471,1.0215373039245605,0.794101893901825,0.0,0.0
SSIM,MEAN,1152,0.9832819898923238,0.9955382744471232,1.0330489873886108,0.8074851036071777,0.0,0.0
MS_SSIM,kodim01,384,0.3676241636276245,0.9885753989219666,0.08595427870750427,0.4907492995262146,3.0,0.0
MS_SSIM,kodim05,384,0.4073560833930969,0.9873491525650024,0.08853353559970856,0.4695199131965637,3.0,0.0
MS_SSIM,kodim19,384,0.2821389436721802,0.9865450859069824,0.061942607164382935,0.4863871932029724,3.0,0.0
MS_SSIM,MEAN,1152,0.35237306356430054,0.9874898791313171,0.07881014049053192,0.48221880197525024,3.0,0.0
LPIPS,kodim01,384,0.09157916903495789,0.24869444966316223,0.004539139568805695,0.03710191696882248,49.0,0.2820468842983246
LPIPS,kodim05,384,0.02859451062977314,0.12366562336683273,0.002428202424198389,0.02997622638940811,45.0,0.30920520424842834
LPIPS,kodim19,384,0.025627322494983673,0.13090333342552185,0.0020897919312119484,0.026907000690698624,53.0,0.500291109085083
LPIPS,MEAN,1152,0.048600334053238235,0.16775446881850561,0.003019044641405344,0.031328381349643074,49.0,0.3638477325439453
DISTS,kodim01,384,0.00034396920818835497,0.006718968041241169,0.00019104382954537868,0.004966248758137226,71.0,0.4658815562725067
DISTS,kodim05,384,0.00018354019266553223,0.003264946863055229,0.0001470132265239954,0.00438142754137516,78.0,0.4884503483772278
DISTS,kodim19,384,0.00047503935638815165,0.00574445491656661,0.00016888449317775667,0.0038304710760712624,94.0,0.6354413032531738
DISTS,MEAN,1152,0.0003341829190806796,0.005242789940287669,0.00016898051641571024,0.0043927157918612165,81.0,0.5299244026343027
WD,kodim01,384,0.1944110095500946,0.6392825245857239,0.01989603042602539,0.16288217902183533,11.0,0.28698039054870605
WD,kodim05,384,0.1865585446357727,0.628029465675354,0.02107333391904831,0.17936104536056519,10.0,0.3498006761074066
WD,kodim19,384,0.20053550601005554,0.6494531035423279,0.01929580047726631,0.15776902437210083,11.0,0.2899181544780731
WD,MEAN,1152,0.19383502006530762,0.6389216979344686,0.02008838827411334,0.16667074958483377,10.666666666666666,0.30889974037806195
