metric,image,n_rows,diag_frac,block_frac,dom,block_dom,r95,cross_plane
LPIPS,kodim01,384,0.05974471569061279,0.22484272718429565,0.00405619153752923,0.04066482186317444,43.0,0.2734937071800232
LPIPS,kodim05,384,0.03712804242968559,0.1364445686340332,0.0027078392449766397,0.028110813349485397,45.0,0.21131518483161926
LPIPS,kodim19,384,0.01813889667391777,0.08532312512397766,0.0015008010668680072,0.018904224038124084,62.0,0.36721959710121155
LPIPS,MEAN,1152,0.038337218264738716,0.14887014031410217,0.002754943949791292,0.029226619750261307,50.0,0.28400949637095135
DISTS,kodim01,384,0.0001738952414598316,0.0018630526028573513,0.00010001688497141004,0.00226021371781826,92.0,0.2661309540271759
DISTS,kodim05,384,0.0002909173199441284,0.005627412348985672,0.000104526559880469,0.0029242876917123795,196.5,0.4784577488899231
DISTS,kodim19,384,0.00015921765589155257,0.0029252381063997746,8.55196121847257e-05,0.0024035987444221973,85.0,0.48406219482421875
DISTS,MEAN,1152,0.00020801007243183753,0.003471901019414266,9.668768567886825e-05,0.002529366717984279,124.5,0.4095502992471059
WD,kodim01,384,0.19355988502502441,0.6488261818885803,0.01928802579641342,0.16350603103637695,11.0,0.2447630763053894
WD,kodim05,384,0.17471812665462494,0.6184383034706116,0.02093668282032013,0.18375515937805176,10.0,0.23497572541236877
WD,kodim19,384,0.1658688187599182,0.6126023530960083,0.014412361197173595,0.12724816799163818,13.0,0.2389543652534485
WD,MEAN,1152,0.17804894347985586,0.6266222794850668,0.018212356604635715,0.15816978613535562,11.333333333333334,0.23956438899040222
