source,config,base,metric,tau,m,sigma,qps,image,quality,bd_rate
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim01,psnr_y,1.6357506235980646
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim02,psnr_y,5.564883431860901
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim03,psnr_y,3.6261328033131424
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim04,psnr_y,2.8000451260984827
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim05,psnr_y,3.033149547426217
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim06,psnr_y,3.8254601802560906
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,psnr_y,3.2933073341970376
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,psnr_y,2.4515178375969837
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,psnr_y,4.261439635721609
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,psnr_y,3.780269932734903
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,psnr_y,3.4192124607981933
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,psnr_y,4.0206395553819
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim01,psnr_yuv,1.422516867958734
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim02,psnr_yuv,4.203380779202792
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim03,psnr_yuv,2.7241900351428594
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim04,psnr_yuv,2.5401464267915452
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim05,psnr_yuv,3.265996507161373
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim06,psnr_yuv,3.3921678858098048
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,psnr_yuv,2.2994833917049595
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,psnr_yuv,2.096276151664389
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,psnr_yuv,3.7297727718122564
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,psnr_yuv,3.2284405548312467
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,psnr_yuv,3.0655272528570476
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,psnr_yuv,4.0230602938924775
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim01,ssim,-7.220524799687289
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim02,ssim,-6.083816284129018
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim03,ssim,-10.090728476701239
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim04,ssim,-7.3177491726090675
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim05,ssim,-9.502970073277373
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim06,ssim,-8.363553367718312
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,ssim,-8.481569769658515
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,ssim,-9.632360423762687
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,ssim,-6.997428245737014
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,ssim,-8.310978885616594
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,ssim,-9.355251130080367
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,ssim,-6.826478088128962
