source,config,base,metric,estimator,kind,tau,m,sigma,R,R_rule,psd,clip_pct,plane_norm,rdoq,n_images,qps,bd_psnr_y,bd_psnr_yuv,bd_ssim,bd_ms_ssim,bd_lpips,bd_dists,bd_psnr_rgb,bd_lpips_alex,bd_wd0,bd_wd2,bd_wd4
vvc_rdo_dists_dgnj3_20260831_234926,wdists_dgnj3_tau0.25_rdoq,wdists_dgnj3,dists,gn,diag,0.25,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,12,"27,32,37,42",21.9749114619561,21.235425578122555,18.82169645808312,20.47220818696262,9.608666941116542,-7.868289047627052,,,8.800256841666988,8.663173828676454,11.674583799500004
vvc_rdo_dists_dgnj3_20260831_234926,wdists_dgnj3_tau0.5_rdoq,wdists_dgnj3,dists,gn,diag,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,12,"27,32,37,42",12.319686835834423,11.863618834312717,9.505536929450143,10.890728762535963,4.275600606026193,-10.652292861107147,,,3.6651710149740695,3.4916895613356895,5.5797676919579375
vvc_rdo_dists_dgnj3_20260831_234926,wdists_dgnj3_tau1_rdoq,wdists_dgnj3,dists,gn,diag,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,12,"27,32,37,42",6.431356570084365,6.075737989846428,4.319983401374499,5.193792810258095,0.8467879341352328,-9.003182165759265,,,-0.041933174727574664,-0.2933968692495468,0.8693599921471663
vvc_rdo_dists_dgnj3_20260831_234926,wdists_dgnj3_tau2_rdoq,wdists_dgnj3,dists,gn,diag,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,12,"27,32,37,42",3.158957817071918,2.8474099395271275,1.8575033116124933,2.4272656521734937,-0.14030469522795141,-7.675592643132728,,,-1.5981142755254865,-1.846740159408392,-1.262088485997694
vvc_rdo_ms_ssim_mn256_20260901_111945,wms_ssim_mn256_tau0.25_rdoq,wms_ssim_mn256,ms_ssim,hutch,diag,0.25,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,12,"27,32,37,42",10.207779465111818,8.357261084691146,-14.524729528154827,-13.783674780397286,-10.366281023016372,-0.1653240612041215,,,,,
vvc_rdo_ssim_sn256_20260901_104937,wssim_sn256_tau0.25_rdoq,wssim_sn256,ssim,hutch,diag,0.25,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,12,"27,32,37,42",10.804745082722162,9.059322962415614,-13.87505674030839,-13.245766374304205,-8.754755061523312,0.801548577657259,,,,,
vvc_rdo_ssim_sn256_20260904_005114,wssim_sn256_tau0.25_rdoq,wssim_sn256,ssim,hutch,diag,0.25,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",9.194917191617343,7.330870594454421,-12.752620143514639,-10.140304861625754,-7.6700691867805615,1.0552979381188659,4.26772522721279,-8.877861429420316,,,
vvc_rdo_ssim_sn256_20260904_005114,wssim_sn256_tau0.5_rdoq,wssim_sn256,ssim,hutch,diag,0.5,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.707947397592236,3.5225565805231063,-10.555278222019398,-8.526846975852349,-6.021637086391824,0.45744509211686957,1.587942793020688,-7.410937802655648,,,
vvc_rdo_ssim_sn256_20260904_005114,wssim_sn256_tau1_rdoq,wssim_sn256,ssim,hutch,diag,1,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",2.0900411423771295,1.3560608962226322,-7.920567327549638,-6.507079828993763,-5.157378317926461,-1.7611685810009483,0.17375945755658218,-5.670298430556858,,,
vvc_rdo_ssim_sn256_20260904_005114,wssim_sn256_tau2_rdoq,wssim_sn256,ssim,hutch,diag,2,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.8021157111582818,0.37550766797352364,-5.4170076325063645,-4.514561724025474,-3.470786231739091,-1.5939209605405573,-0.333843782669969,-4.267713509266408,,,
