config,n_images,bd_psnr_rgb,bd_ms_ssim_rgb,bd_lpips_alex,bd_psnr_y
dqp1_alexd_tau0.25,24,14.872,-7.622,-15.239,19.232
dqp1_alexd_tau0.5,24,7.876,-9.422,-15.757,11.725
dqp1_alexd_tau1,24,2.723,-9.481,-14.051,6.439
dqp1_alexd_tau2,24,-0.249,-8.493,-11.176,3.375
dqp1_alexd_tau4,24,-1.436,-7.572,-8.858,2.115
dqp1_mrgbd_tau0.25,24,10.031,-14.610,-10.355,14.535
dqp1_mrgbd_tau0.5,24,4.134,-13.470,-10.437,7.941
dqp1_mrgbd_tau1,24,0.520,-11.691,-9.626,4.228
dqp1_mrgbd_tau2,24,-1.309,-9.485,-7.869,2.339
dqp1_mrgbd_tau4,24,-2.071,-7.536,-6.061,1.578
dqp2_alexd_tau0.25,24,15.267,-7.502,-14.835,19.745
dqp2_alexd_tau0.5,24,8.121,-9.202,-15.145,12.146
dqp2_alexd_tau1,24,2.926,-9.244,-13.609,6.772
dqp2_alexd_tau2,24,-0.189,-8.505,-11.043,3.523
dqp2_alexd_tau4,24,-1.355,-7.512,-8.517,2.315
dqp2_mrgbd_tau0.25,24,10.356,-14.356,-9.579,15.185
dqp2_mrgbd_tau0.5,24,4.253,-13.267,-9.989,8.395
dqp2_mrgbd_tau1,24,0.674,-11.583,-9.083,4.568
dqp2_mrgbd_tau2,24,-1.170,-9.253,-7.487,2.546
dqp2_mrgbd_tau4,24,-2.044,-7.408,-5.855,1.757
qpa230,24,2.525,-11.025,-12.874,7.615
qpmap_alexd_tau0,24,39.610,-2.215,-12.302,47.654
qpmap_alexd_tau0.25,24,14.563,-7.727,-15.751,18.648
qpmap_alexd_tau0.5,24,7.804,-9.298,-15.763,11.510
qpmap_alexd_tau1,24,2.760,-9.513,-14.240,6.263
qpmap_alexd_tau2,24,-0.209,-8.554,-11.550,3.212
qpmap_alexd_tau4,24,-1.346,-7.566,-9.046,2.022
qpmap_mrgbd_tau0,24,55.834,-12.129,-2.488,68.610
qpmap_mrgbd_tau0.25,24,9.992,-14.644,-10.961,14.091
qpmap_mrgbd_tau0.5,24,4.087,-13.685,-11.146,7.658
qpmap_mrgbd_tau1,24,0.466,-11.842,-9.508,4.019
qpmap_mrgbd_tau2,24,-1.229,-9.592,-7.718,2.151
qpmap_mrgbd_tau4,24,-2.062,-7.626,-6.008,1.476
rq_alexd_tau0.25,24,20.834,-7.047,-17.764,25.263
rq_alexd_tau0.5,24,11.102,-9.606,-17.485,15.038
rq_alexd_tau1,24,4.030,-10.105,-15.762,7.703
rq_alexd_tau2,24,0.226,-9.173,-12.631,3.772
rq_alexd_tau4,24,-1.194,-7.936,-9.821,2.219
rq_mrgbd_tau0.25,24,14.092,-17.265,-14.860,18.943
rq_mrgbd_tau0.5,24,6.103,-16.091,-13.810,10.195
rq_mrgbd_tau1,24,1.220,-13.603,-11.675,4.970
rq_mrgbd_tau2,24,-1.129,-10.752,-9.088,2.481
rq_mrgbd_tau4,24,-1.977,-8.210,-6.746,1.566
rqb_alexb_tau0.25,24,48.599,9.330,-23.216,61.452
rqb_alexb_tau0.5,24,31.662,2.452,-25.672,41.777
rqb_alexb_tau1,24,17.133,-3.047,-26.441,25.182
rqb_alexb_tau10,24,-0.971,-6.355,-15.573,3.688
rqb_alexb_tau2,24,7.791,-6.092,-24.976,14.403
rqb_alexb_tau20,24,-2.005,-5.979,-11.852,2.228
rqb_alexb_tau4,24,2.885,-7.541,-22.052,8.527
rqb_alexb_tau6,24,0.742,-7.164,-19.624,5.818
rqb_mrgbb_tau0.25,24,24.027,-24.443,-11.435,32.900
rqb_mrgbb_tau0.5,24,12.270,-23.568,-12.688,19.066
rqb_mrgbb_tau1,24,4.573,-20.876,-12.298,10.131
rqb_mrgbb_tau2,24,0.484,-17.070,-10.227,5.114
rqb_mrgbb_tau4,24,-1.468,-13.208,-7.841,2.688
rqbs2_alexb_tau0.5,24,41.845,4.987,-15.556,53.088
rqbs2_alexb_tau1,24,26.205,0.546,-14.979,35.084
rqbs2_alexb_tau10,24,20.932,4.879,6.525,28.438
rqbs2_alexb_tau2,24,21.045,0.206,-10.080,29.017
rqbs2_alexb_tau20,24,22.161,6.536,11.765,30.652
rqbs2_alexb_tau4,24,20.205,1.700,-2.788,27.648
rqbs2_alexb_tau6,24,15.564,0.773,-2.472,22.161
rqbs2_mrgbb_tau0.5,24,55.951,1.103,24.297,69.623
rqbs2_mrgbb_tau1,24,39.274,-1.108,16.821,49.816
rqbs2_mrgbb_tau10,24,30.045,8.067,23.861,39.721
rqbs2_mrgbb_tau2,24,38.561,3.372,22.639,49.560
rqbs2_mrgbb_tau20,24,26.419,7.862,21.774,35.699
rqbs2_mrgbb_tau4,24,35.458,5.618,24.099,45.638
rqbs2_mrgbb_tau6,24,30.927,5.844,22.520,39.965
rqbs2v2_alexb_tau0.5,24,38.751,4.024,-18.083,49.330
rqbs2v2_alexb_tau1,24,25.800,0.421,-16.565,34.444
rqbs2v2_alexb_tau10,24,19.845,4.092,5.358,27.328
rqbs2v2_alexb_tau2,24,20.381,-0.070,-11.371,28.365
rqbs2v2_alexb_tau20,24,21.514,6.152,10.228,29.748
rqbs2v2_alexb_tau4,24,19.645,0.706,-4.116,27.083
rqbs2v2_alexb_tau6,24,14.584,0.052,-4.232,21.162
rqbs2v2_mrgbb_tau0.5,24,55.754,0.886,24.065,69.437
rqbs2v2_mrgbb_tau1,24,38.352,-1.938,15.643,48.601
rqbs2v2_mrgbb_tau10,24,28.269,6.620,21.989,37.804
rqbs2v2_mrgbb_tau2,24,39.293,3.659,22.682,50.524
rqbs2v2_mrgbb_tau20,24,26.142,7.049,20.939,35.775
rqbs2v2_mrgbb_tau4,24,35.665,4.965,23.348,46.155
rqbs2v2_mrgbb_tau6,24,29.931,4.674,21.171,38.941
