metric,m,base,map_time_s,bd_target,inside,n_tau
SSIM,16,wssim_sbh8n16,0.0625,-9.577566882422294,1,5
SSIM,32,wssim_sbh8n32,0.125,-15.549692949263372,1,5
SSIM,64,wssim_sbh8n64,0.25,-19.633159590859908,1,5
SSIM,128,wssim_sbh8n128,0.5,-22.2468957048942,1,5
SSIM,256,wssim_sbh8m256,1.0,-23.610647284563022,1,7
MS_SSIM,16,wms_ssim_mbh8n16,0.08125,-7.916906682152871,1,5
MS_SSIM,32,wms_ssim_mbh8n32,0.1625,-11.755217178258945,1,5
MS_SSIM,64,wms_ssim_mbh8n64,0.325,-14.366815985370899,1,5
MS_SSIM,128,wms_ssim_mbh8n128,0.65,-15.977707825280797,1,5
MS_SSIM,256,wms_ssim_mbh8m256,1.3,-16.83857834457786,1,7
LPIPS,16,wlpips_bh8n16,0.19375,-9.889773397077148,1,5
LPIPS,32,wlpips_bh8n32,0.3875,-12.243026024604344,1,5
LPIPS,64,wlpips_bh8n64,0.775,-13.813330391273793,1,5
LPIPS,128,wlpips_bh8n128,1.55,-14.91065032888061,1,5
LPIPS,256,wlpips_bh8,3.1,-15.536271447498464,1,7
DISTS,16,wdists_dgnb8j3n16,0.2375,-12.928389212790643,1,5
DISTS,32,wdists_dgnb8j3n32,0.475,-14.609994081774886,1,5
DISTS,64,wdists_dgnb8j3n64,0.95,-16.092554469768743,1,5
DISTS,128,wdists_dgnb8j3n128,1.9,-16.824600038569727,1,5
DISTS,256,wdists_dgnb8j3,3.8,-17.331350173574414,1,7
WD,16,wwd_gnb8j3n16,0.5875,-14.30743503908387,1,5
WD,32,wwd_gnb8j3n32,1.175,-16.682115086475786,1,5
WD,64,wwd_gnb8j3n64,2.35,-18.047327051701863,1,5
WD,128,wwd_gnb8j3n128,4.7,-18.886920236036687,1,5
WD,256,wwd_gnb8j3,9.4,-19.083680765667037,1,7
