metric,kind,m,alpha,ypsnr,target
SSIM,block,16,1.0,23.255140648619697,-6.137725633894541
MS-SSIM,block,16,1.0,9.252619214347332,-8.059779846667302
LPIPS,block,16,1.0,9.035175575787319,-8.435932237613878
DISTS,block,16,2.0,9.021310052652899,-14.066204240166451
SSIM,block,32,1.0,15.939641796261478,-16.23301167855689
MS-SSIM,block,32,1.0,7.428916350888302,-11.605036757569602
LPIPS,block,32,1.0,8.311617973318844,-9.553737615919658
DISTS,block,32,2.0,8.946365518126997,-14.518317942186718
SSIM,block,64,1.0,12.694395970696974,-21.889573423548754
MS-SSIM,block,64,1.0,6.415265244776208,-13.664424495495632
LPIPS,block,64,1.0,7.983434702946911,-9.92644316702662
DISTS,block,64,2.0,8.833847045113389,-14.619317166111857
SSIM,block,128,1.0,11.338414879339036,-24.63514868452801
MS-SSIM,block,128,1.0,5.833719432994577,-14.807806524745695
LPIPS,block,128,1.0,7.823165539927309,-9.888141010532058
DISTS,block,128,2.0,8.829523098493048,-15.363853925629504
SSIM,block,256,1.0,10.765401431640896,-25.855209001093385
MS-SSIM,block,256,1.0,5.63918821147815,-15.402483337951258
LPIPS,block,256,1.0,7.785054718769711,-10.321556619841013
DISTS,block,256,2.0,8.858528499639482,-14.741556148200758
SSIM,diag,16,0.25,11.013534116075197,-11.13448514142484
SSIM,diag,32,0.25,10.202728937563014,-11.865483265257396
SSIM,diag,64,0.25,9.653005141127682,-12.413241324161921
SSIM,diag,128,0.25,9.416548737082648,-12.741105763113032
SSIM,diag,256,0.25,9.194917191617343,-12.752620143514639
MS-SSIM,diag,16,0.25,9.310759310310289,-11.5577417979628
MS-SSIM,diag,32,0.25,9.038050865063127,-11.790298693316702
MS-SSIM,diag,64,0.25,8.930951844611196,-11.864952468711644
MS-SSIM,diag,128,0.25,8.869619744254935,-11.941977416936018
MS-SSIM,diag,256,0.25,8.98803224892867,-12.338512096184294
LPIPS,diag,16,0.5,6.097487158027039,-8.481347555203499
LPIPS,diag,32,0.5,6.057544553829449,-8.605076050810124
LPIPS,diag,64,0.5,5.965696831716854,-8.846106835095734
LPIPS,diag,128,0.5,5.930639674303734,-8.633597512281073
LPIPS,diag,256,0.5,5.942412701137065,-8.494809065472806
DISTS,diag,16,1.0,6.052763866256467,-10.301337432415144
DISTS,diag,32,1.0,6.010441930409052,-9.644460115153072
DISTS,diag,64,1.0,5.998428723431126,-10.627511383152378
DISTS,diag,128,1.0,6.046071196624259,-9.864539389789245
DISTS,diag,256,1.0,6.041587722772991,-10.344281472253131
