metric,kind,base,m,sigma,estimator,at_ypsnr,inside_sweep,bd_psnr_y,bd_psnr_yuv,bd_ssim,bd_ms_ssim,bd_lpips,bd_dists,bd_wd0,bd_wd2,bd_wd4
SSIM,D,wssim_sn256,256,0.0,hutch,8.147867030177343,1,8.147867030177343,6.442187143005564,-12.239862688203898,-9.763798796881288,-7.285401766212397,0.9157868766097562,-6.360503685206174,-7.867237568246958,-10.497870883712645
SSIM,B,wssim_sbh8m256,256,0.0,hutchblock,8.147867030177343,1,8.147867030177343,7.478737634752564,-23.610647284563022,-8.309682027121614,-2.459111524408637,1.5424432630375196,-3.678260776984463,-5.233770875452365,-7.224502797962952
MS-SSIM,D,wms_ssim_mn256,256,0.0,hutch,8.147867030177343,1,8.147867030177343,6.319176324848653,-11.804959316479504,-11.899389238125268,-9.10191730151592,-3.715873445170187,-9.38195551344455,-11.134584361455998,-13.638750201577057
MS-SSIM,B,wms_ssim_mbh8m256,256,0.0,hutchblock,8.147867030177343,1,8.147867030177343,7.150214027319789,-14.882444877221829,-16.83857834457786,-6.9128382089989975,-3.1733469558450658,-7.532650749668424,-9.339737028582592,-11.511473402358552
LPIPS,D,wlpips_gnj3,256,3.0,gn,8.147867030177343,1,8.147867030177343,7.762708398448478,-12.541311896047489,-10.34013946224679,-11.119238942241896,-3.774961882048829,-6.6691828836894285,-8.234776267244962,-11.255440055279125
LPIPS,B,wlpips_bh8,256,3.0,gnblock,8.147867030177343,1,8.147867030177343,6.988761454926089,-5.919290777410282,-5.30993473770446,-15.536271447498464,-11.307841209924643,-9.961938765072487,-12.009534970192297,-15.786117115224071
DISTS,D,wdists_dgnj3,256,3.0,gn,8.147867030177343,1,8.147867030177343,7.705616957654502,5.431278541543021,5.092996198304735,2.013303480202169,-11.112281524648884,1.0431686818683574,0.638607945375914,1.685499066834697
DISTS,B,wdists_dgnb8j3,256,3.0,gnblock,8.147867030177343,1,8.147867030177343,7.084032780670674,4.89716298291728,4.625714038641259,-4.510646829308138,-17.331350173574414,-4.139583034210501,-5.436675853959596,-6.436279254076955
WD,D,wwd_gnj3,256,3.0,gn,8.147867030177343,1,8.147867030177343,6.879918894429969,-11.077916836897641,-9.589920068953095,-11.324886600219347,-10.629016565179617,-11.646340390643978,-13.472105082757338,-15.422950761633379
WD,B,wwd_gnb8j3,256,3.0,gnblock,8.147867030177343,1,8.147867030177343,6.284673426630496,-9.266063562296825,-7.841260266693244,-13.052668179128288,-14.658380367010162,-16.19681430078355,-19.083680765667037,-22.36661531952115
